Experiment ID                :  scheduler-gen
Problem Type                 :  SCHED
Representation               :  gen
Data Input File Name         :  ../testdata1
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  2
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75800
Number of Genes/Points       :  35
Size of Genes                :  1
Number of Slots              :  35
Number of Monitors           :  7


 R   2 G 138    370   1474.868
 R   2 G 139      0   1385.312
 R   2 G 140      0   1435.559
 R   2 G 141      0   1571.044
 R   2 G 142    320   1509.665
 R   2 G 143    320   1443.735
 R   2 G 144      0   1391.749
 R   2 G 145      0    1391.41
 R   2 G 146      0   1410.321
 R   2 G 147      0   1399.741
 R   2 G 148      0   1276.011
 R   2 G 149      0   1318.564
 R   2 G 150      0    1455.49
 R   2 G 151      0    1369.26
 R   2 G 152      0   1500.564
 R   2 G 153      0    1385.47
 R   2 G 154    310   1452.295
 R   2 G 155    310    1477.05
 R   2 G 156    310   1592.588
 R   2 G 157    120   1585.515
 R   2 G 158      0   1304.002
 R   2 G 159      0    1310.96
 R   2 G 160      0   1363.035
 R   2 G 161      0   1367.941
 R   2 G 162      0   1397.596
 R   2 G 163      0   1294.068
 R   2 G 164      0   1469.158
 R   2 G 165      0   1450.946
 R   2 G 166      0    1504.31
 R   2 G 167      0   1441.089
 R   2 G 168      0   1517.762
 R   2 G 169      0   1668.043
 R   2 G 170      0   1532.339
 R   2 G 171      0   1403.014
 R   2 G 172      0   1484.194
 R   2 G 173      0   1437.255
 R   2 G 174     70    1649.34
 R   2 G 175    450   1740.843
 R   2 G 176      0   1436.517
 R   2 G 177      0   1441.358
 R   2 G 178      0   1704.986
 R   2 G 179      0   1631.074
 R   2 G 180      0   1499.199
 R   2 G 181      0   1370.088
 R   2 G 182      0    1425.62
 R   2 G 183      0   1424.508
 R   2 G 184    150    1411.17
 R   2 G 185      0   1387.502
 R   2 G 186    100   1402.558
 R   2 G 187      0   1204.089
 R   2 G 188      0   1151.854
 R   2 G 189      0   1229.834
 R   2 G 190      0   1187.601
 R   2 G 191      0   1256.122
 R   2 G 192      0   1310.831
 R   2 G 193    740   1493.146
 R   2 G 194      0   1359.843
 R   2 G 195     20   1431.068
 R   2 G 196      0    1332.15
 R   2 G 197      0   1420.882
 R   2 G 198      0   1348.086
 R   2 G 199    210    1331.74
2    193          C          E          G          C          G          G          A          *          *          *          *          *          *          *          *          A          *          *          D          *          *          *          A          *          *          *          *          *          *          F          A          *          *          *          *   RawFitness
                  2          4          6          2          6          6          0         -1         -1         -1         -1         -1         -1         -1         -1          0         -1         -1          3         -1         -1         -1          0         -1         -1         -1         -1         -1         -1          5          0         -1         -1         -1         -1          740

 R   3 G   0      0        0.0
 R   3 G   1      0       43.0
 R   3 G   2      0    146.069
 R   3 G   3      0    123.634
 R   3 G   4      0    221.091
 R   3 G   5      0    247.952
 R   3 G   6      0    262.938
 R   3 G   7      0    323.354
 R   3 G   8      0    376.067
 R   3 G   9      0    315.704
 R   3 G  10      0    334.533
 R   3 G  11      0    359.979
 R   3 G  12      0    395.876
 R   3 G  13      0    404.724
 R   3 G  14      0    456.503
 R   3 G  15      0    457.885
 R   3 G  16      0    370.613
 R   3 G  17      0    376.805
 R   3 G  18      0    430.696
 R   3 G  19      0    422.917
 R   3 G  20      0    461.086
 R   3 G  21      0    370.202
 R   3 G  22      0    386.958
 R   3 G  23      0    438.454
 R   3 G  24      0    391.033
 R   3 G  25      0    486.231
 R   3 G  26      0    449.152
 R   3 G  27      0    543.579
 R   3 G  28      0    598.508
 R   3 G  29      0    536.971
 R   3 G  30      0    431.373
 R   3 G  31      0    555.974
 R   3 G  32      0    436.502
 R   3 G  33      0     475.76
 R   3 G  34      0    489.398
 R   3 G  35      0    587.036
 R   3 G  36      0     500.76
 R   3 G  37      0    583.354
 R   3 G  38      0    601.595
 R   3 G  39      0    795.657
 R   3 G  40      0    628.727
 R   3 G  41      0    670.647
 R   3 G  42      0    771.541
 R   3 G  43      0    785.703
 R   3 G  44      0    746.367
 R   3 G  45      0    762.511
 R   3 G  46      0    830.568
 R   3 G  47      0    802.336
 R   3 G  48      0    826.637
 R   3 G  49      0    872.942
 R   3 G  50      0    842.593
 R   3 G  51      0    843.824
 R   3 G  52      0    905.029
 R   3 G  53      0    859.208
 R   3 G  54      0    861.173
 R   3 G  55      0    871.346
 R   3 G  56      0    879.943
 R   3 G  57      0    871.176
 R   3 G  58      0    917.602
 R   3 G  59      0    882.179
 R   3 G  60      0    879.458
 R   3 G  61      0    960.217
 R   3 G  62      0    868.971
 R   3 G  63      0    851.457
 R   3 G  64      0    771.728
 R   3 G  65      0    905.876
 R   3 G  66      0    880.893
 R   3 G  67      0    851.495
 R   3 G  68      0    870.956
 R   3 G  69      0    867.128
 R   3 G  70      0    914.846
 R   3 G  71      0    920.029
 R   3 G  72      0     941.91
 R   3 G  73      0    938.609
 R   3 G  74      0   1007.155
 R   3 G  75      0   1110.688
